frame,gt_count,tp,fp,fn,id_sw,action_taken
1,16,0,0,16,0,1
2,16,0,0,16,0,1
3,16,5,8,11,0,3
4,16,5,9,11,0,0
5,16,5,9,11,0,0
6,16,5,9,11,0,0
7,16,5,9,11,0,1
8,17,6,9,11,0,0
9,17,7,9,10,0,0
10,17,7,9,10,0,0
11,17,7,10,10,0,0
12,17,7,10,10,0,2
13,17,7,10,10,0,0
14,17,7,11,10,0,0
15,17,7,11,10,0,0
16,16,7,11,9,0,2
17,16,5,13,11,0,0
18,16,6,13,10,0,0
19,16,6,13,10,0,0
20,16,7,12,9,0,0
21,17,7,13,10,0,0
22,17,7,13,10,0,0
23,17,7,13,10,0,0
24,16,6,15,10,0,0
25,16,6,15,10,0,0
26,16,7,14,9,0,0
27,16,7,14,9,0,0
28,16,7,14,9,0,0
29,16,8,14,8,0,0
30,17,9,13,8,0,0
31,16,9,13,7,0,0
32,17,9,13,8,0,0
33,17,8,14,9,0,0
34,17,8,14,9,0,2
35,17,8,14,9,0,0
36,17,10,12,7,0,0
37,16,8,14,8,0,0
38,16,9,13,7,0,0
39,16,9,14,7,0,0
40,15,9,14,6,0,0
41,15,9,14,6,0,3
42,15,9,14,6,0,0
43,15,9,14,6,0,0
44,15,9,14,6,0,0
45,15,9,14,6,0,2
46,15,9,14,6,0,0
47,15,9,13,6,1,0
48,15,9,13,6,0,0
49,15,9,13,6,0,0
50,15,10,12,5,0,0
51,15,10,12,5,0,0
52,15,10,12,5,0,0
53,15,10,12,5,0,3
54,15,10,12,5,0,0
55,16,10,12,6,0,0
56,16,10,12,6,0,2
57,15,8,14,7,0,0
58,15,9,14,6,0,0
59,15,9,14,6,0,2
60,15,9,14,6,0,0
61,15,8,15,7,0,2
62,14,6,17,8,0,0
63,14,7,17,7,0,0
64,14,7,17,7,0,0
65,15,7,18,8,0,0
66,15,8,18,7,0,2
67,15,7,19,8,0,0
68,15,7,19,8,0,0
69,15,7,19,8,0,0
70,15,7,19,8,0,0
71,15,6,20,9,0,0
72,15,7,19,8,0,0
73,15,7,19,8,0,0
74,15,7,19,8,0,0
75,15,8,18,7,0,0
76,15,8,17,7,1,0
77,16,8,17,8,0,0
78,16,7,18,9,0,0
79,16,6,18,10,1,0
80,16,6,18,10,0,2
81,15,6,18,9,0,2
82,15,6,19,9,0,0
83,15,6,20,9,0,2
84,15,5,21,10,0,2
85,15,5,21,10,0,0
86,15,5,21,10,0,2
87,16,5,21,11,0,0
88,16,5,20,11,1,0
89,16,5,20,11,0,0
90,16,5,18,11,2,0
91,16,5,18,11,0,0
92,16,5,18,11,0,0
93,16,5,16,11,2,0
94,16,5,16,11,0,0
95,16,5,17,11,0,0
96,16,6,16,10,0,0
97,16,6,16,10,0,0
98,16,6,16,10,0,0
99,16,8,15,8,0,0
100,16,8,15,8,0,0
101,17,9,14,8,0,0
102,17,9,14,8,0,0
103,15,8,16,7,0,0
104,15,7,17,8,0,2
105,15,7,16,8,1,0
106,14,8,15,6,0,3
107,14,8,14,6,1,0
108,13,7,15,6,0,1
109,13,8,15,5,0,2
110,13,8,15,5,0,2
111,13,8,15,5,0,0
112,13,8,15,5,0,2
113,12,8,15,4,0,2
114,13,8,15,5,0,0
115,13,9,14,4,0,2
116,13,9,14,4,0,0
117,14,9,14,5,0,2
118,13,9,14,4,0,2
119,13,9,14,4,0,0
120,14,9,14,5,0,0
121,14,9,14,5,0,2
122,13,9,14,4,0,0
123,13,9,14,4,0,1
