frame,gt_count,tp,fp,fn,id_sw,action_taken
1,16,0,0,16,0,0
2,16,0,0,16,0,0
3,16,15,0,1,0,0
4,16,15,0,1,0,0
5,16,15,0,1,0,0
6,16,15,0,1,0,0
7,16,15,0,1,0,0
8,17,15,0,2,0,3
9,17,16,0,1,0,0
10,17,16,0,1,0,0
11,17,16,0,1,0,0
12,17,16,0,1,0,0
13,17,16,0,1,0,3
14,17,16,0,1,0,0
15,17,16,0,1,0,0
16,16,15,1,1,0,0
17,16,15,1,1,0,3
18,16,15,1,1,0,0
19,16,15,1,1,0,0
20,16,15,1,1,0,0
21,17,15,1,2,0,0
22,17,16,1,1,0,3
23,17,16,1,1,0,0
24,16,15,2,1,0,0
25,16,15,2,1,0,0
26,16,15,2,1,0,0
27,16,15,2,1,0,0
28,16,15,2,1,0,0
29,16,15,3,1,0,0
30,17,16,2,1,0,0
31,16,15,3,1,0,0
32,17,16,2,1,0,0
33,17,16,2,1,0,0
34,17,16,2,1,0,0
35,17,16,2,1,0,0
36,17,16,2,1,0,3
37,16,15,3,1,0,0
38,16,15,3,1,0,0
39,16,15,3,1,0,3
40,15,14,4,1,0,0
41,15,14,4,1,0,0
42,15,14,4,1,0,0
43,15,14,4,1,0,0
44,15,14,4,1,0,0
45,15,14,4,1,0,0
46,15,14,4,1,0,0
47,15,14,4,1,0,0
48,15,14,4,1,0,0
49,15,14,4,1,0,0
50,15,14,4,1,0,0
51,15,14,4,1,0,0
52,15,14,4,1,0,0
53,15,14,4,1,0,0
54,15,14,3,1,1,0
55,16,15,2,1,0,0
56,16,15,2,1,0,0
57,15,14,3,1,0,0
58,15,14,4,1,0,0
59,15,14,4,1,0,0
60,15,13,6,2,0,0
61,15,13,6,2,0,0
62,14,12,7,2,0,0
63,14,12,7,2,0,0
64,14,13,6,1,0,0
65,15,13,6,2,0,0
66,15,14,5,1,0,0
67,15,13,6,2,0,0
68,15,13,5,2,1,3
69,15,15,2,0,1,0
70,15,15,2,0,0,3
71,15,14,3,1,0,0
72,15,14,3,1,0,0
73,15,14,3,1,0,3
74,15,14,3,1,0,3
75,15,14,4,1,0,0
76,15,14,4,1,0,0
77,16,15,3,1,0,0
78,16,15,3,1,0,0
79,16,15,3,1,0,0
80,16,15,3,1,0,0
81,15,14,4,1,0,0
82,15,14,4,1,0,0
83,15,14,4,1,0,0
84,15,14,4,1,0,2
85,15,14,3,1,1,0
86,15,14,3,1,0,0
87,16,14,3,2,0,0
88,16,14,3,2,0,0
89,16,14,3,2,0,0
90,16,14,3,2,0,3
91,16,14,3,2,0,0
92,16,14,3,2,0,0
93,16,13,4,3,0,0
94,16,13,4,3,0,0
95,16,13,4,3,0,0
96,16,13,4,3,0,0
97,16,13,4,3,0,0
98,16,13,4,3,0,0
99,16,13,4,3,0,0
100,16,13,4,3,0,0
101,17,13,4,4,0,0
102,17,13,4,4,0,0
103,15,12,5,3,0,0
104,15,12,5,3,0,0
105,15,12,5,3,0,0
106,14,11,6,3,0,0
107,14,11,6,3,0,0
108,13,11,6,2,0,0
109,13,11,4,2,2,0
110,13,11,3,2,1,0
111,13,11,4,2,0,0
112,13,11,4,2,0,0
113,12,11,4,1,0,0
114,13,12,3,1,0,0
115,13,12,3,1,0,0
116,13,13,3,0,0,2
117,14,13,3,1,0,0
118,13,13,3,0,0,0
119,13,13,3,0,0,0
120,14,12,4,2,0,3
121,14,12,4,2,0,0
122,13,12,4,1,0,0
123,13,13,3,0,0,0
124,14,14,2,0,0,0
125,13,13,3,0,0,0
126,13,12,4,1,0,0
127,14,12,4,2,0,0
128,14,13,4,1,0,0
129,15,14,3,1,0,2
130,15,14,3,1,0,3
131,14,13,4,1,0,3
132,15,13,4,2,0,0
133,15,14,4,1,0,0
134,17,15,3,2,0,3
135,17,15,3,2,0,0
136,18,15,3,3,0,0
137,17,15,3,2,0,0
138,17,15,3,2,0,0
139,17,15,3,2,0,0
140,17,15,3,2,0,0
141,17,15,3,2,0,0
142,17,15,4,2,0,0
143,17,16,3,1,0,0
144,17,15,4,2,0,0
145,17,15,4,2,0,0
146,16,15,4,1,0,0
147,16,15,4,1,0,0
148,16,15,4,1,0,0
149,15,14,5,1,0,0
150,15,14,5,1,0,0
151,15,14,5,1,0,0
152,15,14,5,1,0,0
153,16,14,5,2,0,0
154,16,14,5,2,0,0
155,17,14,4,3,1,0
156,16,13,5,3,0,0
157,16,14,4,2,0,0
158,15,13,5,2,0,3
159,15,13,5,2,0,0
160,15,14,5,1,0,0
161,14,12,6,2,1,3
162,14,12,6,2,0,0
163,14,12,6,2,0,0
164,14,12,6,2,0,0
165,13,12,6,1,0,0
166,13,12,6,1,0,0
167,13,12,6,1,0,0
168,13,12,6,1,0,0
169,13,12,6,1,0,0
170,13,12,6,1,0,0
171,13,12,6,1,0,0
172,13,12,6,1,0,0
173,12,11,7,1,0,0
174,12,11,7,1,0,0
175,12,11,7,1,0,0
176,13,12,6,1,0,0
177,13,12,6,1,0,0
178,13,12,5,1,1,0
179,13,12,5,1,0,0
180,13,12,5,1,0,0
181,13,12,5,1,0,0
182,14,12,5,2,0,0
183,14,12,5,2,0,0
184,14,11,6,3,0,0
185,14,12,6,2,0,0
186,15,13,5,2,0,3
187,15,13,5,2,0,0
188,16,13,5,3,0,0
189,16,13,5,3,0,0
190,16,14,5,2,0,0
191,16,15,5,1,0,0
192,16,15,5,1,0,0
193,16,15,5,1,0,0
194,16,15,5,1,0,0
195,16,15,5,1,0,0
196,15,14,6,1,0,0
197,15,14,6,1,0,0
198,14,13,7,1,0,0
199,14,13,7,1,0,3
200,14,13,7,1,0,0
201,14,13,7,1,0,0
202,14,13,7,1,0,0
203,14,13,6,1,1,0
204,15,14,5,1,0,0
205,15,14,5,1,0,0
206,15,14,5,1,0,0
207,15,14,5,1,0,2
208,15,14,5,1,0,3
209,13,13,6,0,0,0
210,13,13,6,0,0,0
211,13,13,6,0,0,0
212,13,13,6,0,0,2
213,13,13,6,0,0,0
214,14,14,5,0,0,0
215,14,14,5,0,0,0
216,14,13,6,1,0,0
217,14,13,6,1,0,0
218,15,14,5,1,0,0
219,14,14,5,0,0,3
220,16,15,5,1,0,0
221,16,15,5,1,0,0
222,17,17,4,0,0,0
223,17,17,4,0,0,2
224,17,17,4,0,0,3
225,17,17,4,0,0,0
226,19,17,3,2,1,0
227,19,17,3,2,0,0
228,19,17,3,2,0,0
229,17,15,6,2,0,0
230,17,15,6,2,0,0
231,16,14,7,2,0,0
232,17,15,6,2,0,0
233,17,15,7,2,0,0
234,17,15,7,2,0,0
235,17,15,7,2,0,0
236,19,17,5,2,0,3
237,21,19,4,2,0,0
238,21,19,4,2,0,0
239,20,18,5,2,0,0
240,20,18,5,2,0,3
241,21,18,5,3,0,0
242,21,18,6,3,0,0
243,21,18,7,3,0,3
244,21,18,7,3,0,0
245,20,17,8,3,0,0
246,20,17,8,3,0,0
247,20,17,8,3,0,0
248,21,17,8,4,0,3
249,21,17,9,4,0,3
250,21,16,10,5,0,0
251,21,16,11,5,0,0
252,20,16,12,4,0,3
253,19,15,14,4,0,0
254,19,16,13,3,0,3
255,19,16,13,3,0,0
256,19,16,13,3,0,3
257,19,16,13,3,0,3
258,19,17,13,2,0,3
259,19,17,12,2,1,3
260,19,18,11,1,0,3
261,19,18,11,1,0,0
262,19,17,11,2,1,0
263,21,19,9,2,0,0
264,21,20,8,1,0,0
265,22,20,8,2,0,0
266,22,19,9,3,0,0
267,22,20,8,2,0,0
268,20,19,9,1,0,0
269,21,19,9,2,0,0
270,21,19,9,2,0,0
271,22,20,8,2,0,3
272,21,19,9,2,0,0
273,21,20,8,1,0,0
274,21,20,7,1,1,0
275,21,20,7,1,0,0
276,21,20,7,1,0,0
277,21,20,6,1,1,0
278,21,20,6,1,0,3
279,21,20,6,1,0,0
280,20,19,7,1,0,0
281,19,18,8,1,0,0
282,19,17,8,2,1,3
283,20,18,7,2,0,0
284,18,17,8,1,0,0
285,18,17,8,1,0,3
286,18,17,8,1,0,0
287,18,17,8,1,0,0
288,19,18,7,1,0,3
289,19,18,7,1,0,3
290,20,19,6,1,0,0
291,20,19,6,1,0,0
292,19,18,7,1,0,0
293,18,17,8,1,0,0
294,18,17,8,1,0,0
295,18,17,7,1,1,0
296,18,17,7,1,0,0
297,18,17,7,1,0,0
298,17,16,8,1,0,0
299,18,17,8,1,0,0
300,18,17,8,1,0,0
301,18,17,8,1,0,0
302,18,17,8,1,0,0
303,19,17,8,2,0,0
304,19,17,7,2,1,0
305,19,17,7,2,0,0
306,19,17,6,2,1,0
307,19,17,7,2,0,0
308,19,17,7,2,0,0
309,19,18,6,1,0,0
310,19,18,6,1,0,0
311,19,18,6,1,0,0
312,19,18,6,1,0,3
313,18,17,7,1,0,0
314,18,17,7,1,0,0
315,18,17,7,1,0,0
316,17,16,8,1,0,0
317,17,16,8,1,0,3
318,17,16,8,1,0,0
319,17,16,8,1,0,0
320,17,16,7,1,1,0
321,17,16,7,1,0,0
322,17,16,7,1,0,0
323,16,15,8,1,0,0
324,16,15,8,1,0,0
325,17,15,7,2,1,0
326,17,15,7,2,0,0
327,17,16,6,1,0,0
328,17,16,6,1,0,3
329,17,16,6,1,0,0
330,17,16,6,1,0,0
331,17,16,6,1,0,0
332,17,16,6,1,0,0
333,17,16,6,1,0,3
334,17,16,6,1,0,0
335,18,17,6,1,0,0
336,19,18,4,1,1,0
337,18,16,6,2,0,3
338,18,16,6,2,0,0
339,16,14,8,2,0,0
340,15,13,9,2,0,3
341,15,13,9,2,0,0
342,15,13,9,2,0,0
343,15,13,9,2,0,0
344,15,14,8,1,0,0
345,15,14,8,1,0,0
346,15,14,10,1,0,0
347,15,14,10,1,0,0
348,15,14,10,1,0,3
349,15,14,10,1,0,0
350,15,14,10,1,0,0
351,14,14,10,0,0,3
352,14,14,10,0,0,0
353,15,14,11,1,0,0
354,15,13,12,2,0,0
355,14,12,13,2,0,0
356,13,11,12,2,2,0
357,13,11,12,2,0,0
358,12,10,13,2,0,0
359,12,10,13,2,0,0
360,12,10,13,2,0,3
361,11,10,13,1,0,0
362,11,10,13,1,0,0
363,11,10,13,1,0,0
364,11,10,12,1,1,0
365,12,11,11,1,0,0
366,11,10,12,1,0,2
367,11,10,13,1,0,0
368,11,10,13,1,0,0
369,11,10,13,1,0,3
370,11,10,12,1,1,0
371,12,10,12,2,0,0
372,12,10,12,2,0,2
373,12,10,12,2,0,0
374,11,9,13,2,0,0
375,11,9,13,2,0,0
376,12,9,13,3,0,3
377,11,9,14,2,0,3
