frame,gt_count,tp,fp,fn,id_sw,action_taken
1,5,0,0,5,0,0
2,5,0,0,5,0,0
3,6,4,0,2,0,0
4,6,4,1,2,0,0
5,6,4,1,2,0,0
6,6,4,1,2,0,0
7,6,4,1,2,0,0
8,6,4,1,2,0,0
9,6,4,1,2,0,0
10,6,4,1,2,0,0
11,6,4,1,2,0,0
12,6,4,1,2,0,0
13,6,4,1,2,0,0
14,6,4,2,2,0,0
15,6,4,2,2,0,0
16,6,4,2,2,0,0
17,6,4,2,2,0,0
18,6,4,2,2,0,0
19,6,4,2,2,0,0
20,6,4,2,2,0,0
21,6,4,2,2,0,0
22,6,4,2,2,0,0
23,6,4,3,2,0,0
24,6,4,3,2,0,0
25,6,4,3,2,0,0
26,6,5,2,1,0,0
27,6,5,2,1,0,0
28,6,5,2,1,0,0
29,6,6,1,0,0,0
30,5,5,2,0,0,0
31,5,5,2,0,0,0
32,5,5,2,0,0,0
33,5,5,2,0,0,3
34,5,5,2,0,0,0
35,5,5,2,0,0,0
36,5,5,2,0,0,3
37,5,5,2,0,0,0
38,5,5,2,0,0,0
39,5,5,2,0,0,0
40,5,5,2,0,0,0
41,5,5,2,0,0,0
42,5,5,2,0,0,0
43,5,5,2,0,0,3
44,5,5,2,0,0,0
45,5,5,2,0,0,3
46,6,6,1,0,0,3
47,6,6,1,0,0,0
48,6,6,1,0,0,0
49,5,5,2,0,0,3
50,6,6,1,0,0,3
51,6,6,1,0,0,0
52,6,6,1,0,0,0
53,6,6,1,0,0,0
54,6,6,0,0,1,0
55,7,6,0,1,0,0
56,7,7,0,0,0,3
57,7,7,0,0,0,0
58,7,7,0,0,0,0
59,7,7,0,0,0,0
60,7,7,0,0,0,0
61,6,6,1,0,0,0
62,7,7,0,0,0,0
63,7,7,0,0,0,3
64,7,7,0,0,0,3
65,7,7,0,0,0,0
66,7,7,0,0,0,0
67,7,7,0,0,0,0
68,7,7,0,0,0,0
69,7,7,0,0,0,0
70,7,7,0,0,0,0
71,7,7,0,0,0,0
72,7,7,0,0,0,0
73,7,7,0,0,0,3
74,7,7,0,0,0,0
75,7,7,0,0,0,0
76,8,7,0,1,0,0
77,8,7,0,1,0,0
78,8,7,0,1,0,0
79,8,7,0,1,0,0
80,8,7,0,1,0,0
81,7,7,0,0,0,0
82,7,7,0,0,0,3
83,7,7,0,0,0,0
84,7,7,0,0,0,0
85,7,7,0,0,0,0
86,7,7,0,0,0,0
87,7,7,0,0,0,0
88,7,7,0,0,0,0
89,7,7,0,0,0,0
90,7,7,0,0,0,0
91,7,7,0,0,0,0
92,7,7,0,0,0,0
93,7,7,0,0,0,0
94,7,7,0,0,0,0
95,7,7,0,0,0,0
96,7,7,0,0,0,3
97,7,7,0,0,0,0
98,7,7,0,0,0,0
99,7,7,0,0,0,0
100,7,7,0,0,0,0
101,7,7,0,0,0,3
102,6,6,1,0,0,0
103,6,6,1,0,0,0
104,6,6,1,0,0,0
105,6,6,1,0,0,0
106,5,5,2,0,0,0
107,5,5,2,0,0,0
108,5,5,2,0,0,0
109,5,5,2,0,0,0
110,5,5,2,0,0,0
111,5,5,2,0,0,0
112,5,5,2,0,0,0
113,5,5,2,0,0,0
114,5,5,2,0,0,0
115,5,5,2,0,0,0
116,5,5,2,0,0,0
117,5,5,2,0,0,0
118,4,4,3,0,0,0
119,4,4,3,0,0,0
120,4,4,3,0,0,0
121,4,4,3,0,0,0
122,4,4,3,0,0,0
123,4,4,3,0,0,3
124,4,4,3,0,0,0
125,4,4,3,0,0,0
126,4,4,3,0,0,3
127,4,4,3,0,0,0
128,4,4,3,0,0,3
129,4,4,3,0,0,0
130,4,4,3,0,0,0
131,4,4,3,0,0,0
132,4,4,3,0,0,3
133,4,4,2,0,1,0
134,4,4,2,0,0,0
135,4,4,2,0,0,0
136,5,4,2,1,0,3
137,5,4,1,1,1,0
138,5,4,1,1,0,0
139,5,5,1,0,0,0
140,5,5,1,0,0,3
141,5,5,1,0,0,0
142,5,5,1,0,0,0
143,5,5,1,0,0,0
144,5,5,1,0,0,0
145,5,5,1,0,0,0
146,5,5,1,0,0,0
147,5,5,1,0,0,0
148,5,5,2,0,0,0
149,6,6,1,0,0,0
150,6,6,1,0,0,3
151,5,5,2,0,0,0
152,6,6,2,0,0,0
153,5,5,3,0,0,3
154,5,5,3,0,0,0
155,5,5,3,0,0,0
156,5,5,3,0,0,3
157,6,6,2,0,0,0
158,6,6,2,0,0,0
159,6,6,2,0,0,0
160,6,6,2,0,0,0
161,6,6,2,0,0,3
162,6,6,2,0,0,3
163,6,6,2,0,0,0
164,5,5,3,0,0,0
165,5,5,3,0,0,3
166,5,5,3,0,0,0
167,6,6,2,0,0,0
168,6,6,2,0,0,3
169,6,6,2,0,0,3
170,6,6,2,0,0,0
171,6,6,2,0,0,3
172,6,6,3,0,0,3
173,6,6,3,0,0,0
174,7,7,2,0,0,0
175,7,7,2,0,0,3
176,6,6,3,0,0,3
177,6,6,3,0,0,0
178,6,6,3,0,0,3
179,5,5,4,0,0,0
180,5,5,4,0,0,0
181,6,5,4,1,0,3
182,6,5,4,1,0,0
183,6,6,3,0,0,3
184,6,6,4,0,0,0
185,7,7,3,0,0,0
186,7,7,3,0,0,3
187,7,7,3,0,0,0
188,8,8,2,0,0,0
189,7,7,3,0,0,0
190,8,8,2,0,0,3
191,8,7,3,1,0,0
192,8,8,3,0,0,0
193,8,8,3,0,0,3
194,7,7,5,0,0,0
195,8,8,4,0,0,3
196,8,8,4,0,0,0
197,7,6,6,1,0,0
198,7,6,6,1,0,3
199,8,7,5,1,0,0
200,8,7,5,1,0,0
201,8,8,4,0,0,0
202,7,7,5,0,0,3
203,7,7,5,0,0,0
204,6,6,6,0,0,0
205,7,7,5,0,0,3
206,8,8,4,0,0,0
207,8,8,4,0,0,0
208,8,8,4,0,0,0
209,9,8,4,1,0,0
210,8,8,4,0,0,0
211,9,9,3,0,0,2
212,8,8,4,0,0,0
213,8,8,4,0,0,3
214,8,8,4,0,0,0
215,9,9,3,0,0,0
216,9,8,4,1,0,3
217,9,8,4,1,0,0
218,11,10,2,1,0,0
219,10,9,3,1,0,3
220,9,9,3,0,0,3
221,9,9,3,0,0,0
222,9,9,3,0,0,0
223,9,9,3,0,0,0
224,9,9,3,0,0,3
225,9,9,3,0,0,0
226,10,9,3,1,0,0
227,10,9,3,1,0,3
228,10,9,3,1,0,0
229,10,9,3,1,0,0
230,10,9,3,1,0,0
231,10,9,3,1,0,3
232,10,9,3,1,0,0
233,10,9,3,1,0,0
234,10,9,3,1,0,0
235,10,9,3,1,0,0
236,10,9,3,1,0,0
237,10,9,3,1,0,0
238,10,9,3,1,0,0
239,10,9,3,1,0,0
240,10,9,3,1,0,0
241,10,9,3,1,0,0
242,10,9,3,1,0,0
243,10,9,3,1,0,0
244,10,9,3,1,0,3
245,10,8,4,2,0,0
246,10,8,4,2,0,0
247,10,8,3,2,1,0
248,10,7,4,3,0,0
249,9,8,3,1,0,0
250,9,8,3,1,0,0
251,9,8,3,1,0,0
252,9,8,3,1,0,0
253,9,7,4,2,0,0
254,9,7,4,2,0,0
255,8,7,4,1,0,0
256,7,6,5,1,0,0
257,8,7,3,1,1,0
258,8,7,3,1,0,0
259,8,7,3,1,0,3
260,8,7,3,1,0,3
261,8,7,3,1,0,0
262,8,8,2,0,0,2
263,8,8,2,0,0,3
264,8,8,2,0,0,0
265,8,8,2,0,0,0
266,8,8,2,0,0,3
267,8,8,2,0,0,0
268,8,8,2,0,0,0
269,8,8,2,0,0,0
270,8,8,2,0,0,0
271,8,8,2,0,0,0
272,8,8,2,0,0,0
273,8,8,2,0,0,0
274,7,6,4,1,0,0
275,7,6,4,1,0,0
276,7,6,4,1,0,0
277,7,6,4,1,0,0
278,7,6,4,1,0,0
279,7,6,3,1,1,0
280,7,7,2,0,0,0
281,7,7,2,0,0,3
282,7,7,2,0,0,0
283,7,7,2,0,0,0
284,7,7,2,0,0,0
285,7,7,2,0,0,0
286,7,7,2,0,0,0
287,8,7,2,1,0,0
288,8,7,2,1,0,3
289,8,7,3,1,0,0
290,8,7,3,1,0,0
291,8,7,3,1,0,3
292,8,8,2,0,0,0
293,8,8,2,0,0,0
294,8,8,2,0,0,0
295,8,8,2,0,0,0
296,8,8,2,0,0,0
297,8,8,2,0,0,0
298,8,8,2,0,0,0
299,8,8,1,0,1,0
300,8,8,1,0,0,0
301,8,8,1,0,0,0
302,8,8,1,0,0,0
303,8,8,1,0,0,0
304,8,8,1,0,0,3
305,8,8,1,0,0,0
306,8,8,1,0,0,0
307,8,8,1,0,0,0
308,8,8,1,0,0,0
309,8,8,1,0,0,0
310,7,7,2,0,0,0
311,7,7,2,0,0,0
312,7,7,2,0,0,0
313,7,6,3,1,0,0
314,7,6,3,1,0,0
315,7,5,4,2,0,0
316,7,5,4,2,0,0
317,7,5,4,2,0,0
318,7,6,3,1,0,0
319,7,6,3,1,0,3
320,7,6,3,1,0,0
321,8,7,3,1,0,0
322,8,7,3,1,0,3
323,8,7,3,1,0,0
324,8,7,3,1,0,0
325,8,7,3,1,0,0
326,8,7,3,1,0,0
327,8,7,3,1,0,0
328,8,7,3,1,0,0
329,8,7,2,1,1,0
330,8,7,2,1,0,0
331,8,7,2,1,0,0
332,8,7,2,1,0,0
333,8,7,2,1,0,0
334,8,7,2,1,0,3
335,7,6,3,1,0,0
336,7,6,3,1,0,0
337,7,6,3,1,0,0
338,6,6,3,0,0,3
339,6,6,3,0,0,3
340,6,6,3,0,0,0
341,6,6,3,0,0,0
342,6,6,3,0,0,0
343,7,7,2,0,0,0
344,7,7,2,0,0,0
345,7,7,2,0,0,0
346,7,7,2,0,0,0
347,7,7,2,0,0,0
348,7,7,2,0,0,2
349,7,7,2,0,0,3
350,7,7,2,0,0,0
351,7,7,2,0,0,0
352,7,7,2,0,0,0
353,8,7,2,1,0,0
354,8,7,2,1,0,3
355,8,6,3,2,0,0
356,8,6,3,2,0,0
357,8,6,3,2,0,0
358,8,6,3,2,0,0
359,8,6,3,2,0,0
360,8,6,3,2,0,0
361,9,7,1,2,1,3
362,9,6,2,3,0,0
363,9,6,2,3,0,0
364,9,6,2,3,0,0
365,9,7,2,2,0,0
366,10,7,2,3,0,0
367,9,8,2,1,0,0
368,8,7,3,1,0,0
369,8,7,3,1,0,0
370,9,8,2,1,0,0
371,8,7,3,1,0,0
372,8,8,2,0,0,0
373,8,8,2,0,0,3
374,7,7,3,0,0,0
375,7,7,3,0,0,0
376,7,7,3,0,0,3
377,7,7,3,0,0,0
378,7,7,3,0,0,0
379,8,8,2,0,0,0
380,8,8,2,0,0,0
381,9,9,1,0,0,0
382,9,9,1,0,0,0
383,8,7,3,1,0,0
384,8,7,3,1,0,0
385,8,7,3,1,0,0
386,9,7,4,2,0,0
387,9,7,4,2,0,0
388,8,7,4,1,0,0
389,8,6,5,2,0,0
390,8,6,5,2,0,0
391,8,6,5,2,0,0
392,9,6,5,3,0,0
393,8,6,5,2,0,3
394,8,6,5,2,0,0
395,8,6,5,2,0,0
396,8,6,5,2,0,3
397,7,6,5,1,0,0
398,8,7,4,1,0,0
399,7,6,5,1,0,0
400,7,6,5,1,0,3
401,6,6,5,0,0,0
402,7,6,5,1,0,0
403,7,6,5,1,0,0
404,7,7,4,0,0,0
405,7,7,4,0,0,3
406,7,6,5,1,0,0
407,7,7,4,0,0,0
408,7,7,4,0,0,0
409,7,7,4,0,0,0
410,7,7,3,0,1,0
411,7,7,2,0,1,0
412,7,7,2,0,0,0
413,7,7,2,0,0,0
414,7,7,2,0,0,0
415,7,7,2,0,0,3
416,7,6,3,1,0,0
417,7,6,3,1,0,3
418,7,6,3,1,0,0
419,7,6,3,1,0,0
420,7,6,3,1,0,3
421,7,7,2,0,0,0
422,7,7,2,0,0,3
423,7,7,2,0,0,0
424,7,7,2,0,0,0
425,8,7,3,1,0,0
426,8,8,2,0,0,0
427,8,8,2,0,0,3
428,8,8,2,0,0,0
429,8,8,2,0,0,0
430,8,8,2,0,0,0
431,8,8,2,0,0,0
432,7,7,3,0,0,0
433,7,7,3,0,0,0
434,7,7,3,0,0,0
435,7,7,3,0,0,0
436,7,7,3,0,0,0
437,7,7,3,0,0,0
438,8,7,3,1,0,0
